"BillID","Major","MajorProb","Minor","MinorProb","Private"
"113-hr-1193",6,0.38,602,0.78,0
"113-hr-1194",15,0.85,1523,0.94,0
"113-hr-1195",7,0.65,709,0.78,0
"113-hr-1196",20,0.68,2014,0.9,0
"113-hr-1197",20,0.36,2002,0.62,0
"113-hr-1198",21,0.64,2105,0.97,0
"113-hr-1199",6,0.81,602,0.84,0
"113-hr-12",20,0.18,2002,0.41,0
"113-hr-120",15,0.36,1504,0.43,0
"113-hr-1200",3,0.57,301,0.27,0
"113-hr-1201",15,0.15,1525,0.29,0
"113-hr-1202",1,0.36,105,0.82,0
"113-hr-1203",20,0.26,2012,0.36,0
"113-hr-1204",10,0.33,1003,0.78,0
"113-hr-1205",3,0.41,321,0.25,0
"113-hr-1206",20,0.26,2003,0.59,0
"113-hr-1207",99,1,9900,1,1
"113-hr-1208",21,0.94,2101,0.82,0
"113-hr-1209",20,0.84,2006,0.95,0
"113-hr-121",1,0.81,107,0.97,0
"113-hr-1210",16,0.51,1603,0.59,0
"113-hr-1211",15,0.2,1525,0.31,0
"113-hr-1212",1,0.44,107,0.85,0
"113-hr-1213",14,0.63,1400,0.35,0
"113-hr-1214",8,0.51,803,0.66,0
"113-hr-1215",21,0.61,2104,0.37,0
"113-hr-1216",20,0.89,2008,1,0
"113-hr-1217",13,0.27,1303,0.65,0
"113-hr-1218",20,0.55,2006,0.73,0
"113-hr-1219",4,0.34,408,0.6,0
"113-hr-122",15,0.9,1521,0.98,0
"113-hr-1220",99,0.36,9900,1,0
"113-hr-1221",20,0.18,2002,0.48,0
"113-hr-1222",15,0.2,1525,0.31,0
"113-hr-1223",16,0.7,1608,0.72,0
"113-hr-1224",20,0.7,2006,0.83,0
"113-hr-1225",21,0.71,2102,0.73,0
"113-hr-1226",5,0.75,505,0.3,0
"113-hr-1227",15,0.2,1525,0.31,0
"113-hr-1228",20,0.99,2008,1,0
"113-hr-1229",15,0.48,1502,0.47,0
"113-hr-123",21,0.46,2104,0.84,0
"113-hr-1230",21,0.82,2101,0.45,0
"113-hr-1231",1,0.26,105,0.77,0
"113-hr-1232",20,0.29,2002,0.59,0
"113-hr-1233",15,0.26,1501,0.35,0
"113-hr-1234",21,0.19,2101,0.52,0
"113-hr-1235",13,0.17,1308,0.39,0
"113-hr-1236",3,0.81,333,0.73,0
"113-hr-1237",16,0.98,1699,1,0
"113-hr-1238",16,0.28,1608,0.32,0
"113-hr-1239",3,0.68,302,0.43,0
"113-hr-124",16,0.89,1600,0.65,0
"113-hr-1240",1,0.12,107,0.37,0
"113-hr-1241",21,1,2103,0.98,0
"113-hr-1242",19,0.38,1921,0.5,0
"113-hr-1243",6,0.71,602,0.65,0
"113-hr-1244",6,0.66,602,0.86,0
"113-hr-1245",6,0.42,602,0.83,0
"113-hr-1246",20,0.61,2014,0.88,0
